"artist_name_1"
"Kurtis Blow"
"Whodini"
"The Fat Boys"
"LL Cool J"
"Beastie Boys"
"Afrika Bambaataa"
"Salt-N-Pepa"
"Public Enemy"
"Eric B. & Rakim"
"Ice-T"
"Grandmaster Flash"
"Heavy D & the Boyz"
"Dana Dane"
"Slick Rick"
"Ultramagnetic MC's"
"Sparky D"
"Doug E. Fresh & the Get Fresh Crew"
"3rd Bass"
"Special Ed"
"Black, Rock & Ron"
"Geto Boys"
"Awesome 2"
"Afros"
"The Genius"
"A Tribe Called Quest"
"Ed O.G & da Bulldogs"
"Pete Rock & C.L. Smooth"
"Sir Mix-A-Lot"
"DJ Quik"
"Boss"
"Guru's Jazzmatazz"
"Souls of Mischief"
"DJ Jazzy Jeff & the Fresh Prince"
"Das EFX"
"Leaders of the New School"
"Jungle Brothers"
"Onyx"
"Kris Kross"
"Justin Warfield"
"Warren G"
"South Central Cartel"
"Funkmaster Flex"
"Kool G Rap"
"The Dayton Family"
"Luniz"
"Jayo Felony"
"Jay-Z"
"Snoop Dogg"
"Redman"
"E-40"
"Boot Camp Clik"
"The Last Poets"
"Chubb Rock"
"Rakim"
"Nadanuf"
"Killarmy"
"Busta Rhymes"
"Everlast"
"Pete Rock"
"Gang Starr"
"Jermaine Dupri"
"RZA"
"Def Squad"
"DJ Spade"
"DJ Nabs"
"DMX"
"Ja Rule"
"Too $hort"
"Harlem World"
"The Madd Rapper"
"X-Raided"
"DJ Melo-Mix"
"Wyclef Jean"
"Da Brat"
"Rehab"
"Lil' Keke"
"2Pac"
"The LOX"
"Arthur Baker"
"Erick Sermon"
"Mix Master Mike"
"DJ Red Alert"
"Saul Williams"
"Eminem"
"Lil' Romeo"
"Baby"
"Lil' Kim"
"The Herbaliser"
"The X-ecutioners"
"Murphy Lee"
"Rob Swift"
"DJ Yoda"
"Krafty Kuts"
"Greg Edwards"
"Xxx Hip Hop"
"Dujeous?"
"Lil Jon"
"T.I."
"Nas"
"Cypress Hill"
"Federation"
"The Beatnuts"
"Young Gunz"
"DJ Spinbad"
"I-20"
"NB Ridaz"
"DJ Ideal"
"Kanye West"
"The Roots"
"Bow Wow"
"The Notorious B.I.G."
"Rev Run"
"T-Nutty"
"Memphis Bleek"
"Cadillac Don"
"DMC"
"Unwrapped"
"Mos Def"
"DJ Green Lantern"
"Daz Dillinger"
"Liam Howlett"
"J Xavier"
"Transito"
"Garcia"
"Bow Wow & Omarion"
"Spank Rock"
"Baby Elephant"
"Lil Wayne"
"DJ Khaled"
"Scarface"
"Ace Hood"
"Jim Jones"
"T-Pain"
"Kid Cudi"
"Birdman"
"Asher Roth"
"Peanut Butter Wolf"
"Young Money"
"Young Problemz"
"Kero One"
"Pitbull"
"Diddy"
"Cam'ron"
"Childish Gambino"
"Kreayshawn"
"Pusha T"
