"focal","origin"
"Dem Franchize Boyz","8Ball and MJG"
"Mystikal","8Ball and MJG"
"Fat Pat","8Ball and MJG"
"Gangsta Pat","8Ball and MJG"
"Czar*Nok","8Ball and MJG"
"Lil' Blunt","8Ball and MJG"
"Mr. Pookie","8Ball and MJG"
"David Banner","8Ball and MJG"
"Cee Lo Green","8Ball and MJG"
"Ying Yang Twins","8Ball and MJG"
"Big Hawk","8Ball and MJG"
"Big Pokey","8Ball and MJG"
"Big Kuntry King","8Ball and MJG"
"Re-Up Gang","8Ball and MJG"
"Playaz Circle","8Ball and MJG"
"Boyz N da Hood","8Ball and MJG"
"Yungstar","8Ball and MJG"
"Raydar Ellis","8Ball and MJG"
"Young Jeezy","8Ball and MJG"
"D4L","8Ball and MJG"
"Bohagon","8Ball and MJG"
"Webbie","8Ball and MJG"
"Rich Boy","8Ball and MJG"
"Bubba Sparxxx","8Ball and MJG"
"YoungBloodZ","8Ball and MJG"
"Juicy J","8Ball and MJG"
"The Project Playaz","8Ball and MJG"
"Al Kapone","8Ball and MJG"
"Tyler, The Creator","8Ball and MJG"
"Boosie Badazz","8Ball and MJG"
"MobSquad Nard","8Ball and MJG"
"Southside Playaz","8Ball and MJG"
"M-Child","8Ball and MJG"
"Thugz From da Southside","8Ball and MJG"
"Botany Boyz","8Ball and MJG"
"Main Attrakionz","8Ball and MJG"
"Dorrough","8Ball and MJG"
"Freddie Gibbs","8Ball and MJG"
"Young Money","8Ball and MJG"
"MC Mack","8Ball and MJG"
"Crime Boss","8Ball and MJG"
"OJ da Juiceman","8Ball and MJG"
"Backbone","8Ball and MJG"
"Birdman","8Ball and MJG"
"Kari Faux","8Ball and MJG"
"Tyke T","8Ball and MJG"
"Pitbull","95 South"
"Black Milk","9th Wonder"
"Slakah the Beatchild","9th Wonder"
"AraabMuzik","9th Wonder"
"Wiley","A Guy Called Gerald"
"D*Note","A Man Called Adam"
"Tanya Morgan","A Tribe Called Quest"
"Aceyalone","A Tribe Called Quest"
"Roc C.","A Tribe Called Quest"
"Rhymefest","A Tribe Called Quest"
"The Roots","A Tribe Called Quest"
"Kanye West","A Tribe Called Quest"
"Artfull Dodgers","A Tribe Called Quest"
"Lupe Fiasco","A Tribe Called Quest"
"Common","A Tribe Called Quest"
"Black Milk","A Tribe Called Quest"
"Talib Kweli","A Tribe Called Quest"
"Timbuktu","A Tribe Called Quest"
"Ohmega Watts","A Tribe Called Quest"
"Subtle","A Tribe Called Quest"
"Dilated Peoples","A Tribe Called Quest"
"Little Brother","A Tribe Called Quest"
"Mike-E","A Tribe Called Quest"
"Danny!","A Tribe Called Quest"
"Wyclef Jean","A Tribe Called Quest"
"DJ Hi-Tek","A Tribe Called Quest"
"Del the Funky Homosapien","A Tribe Called Quest"
"Black Spade","A Tribe Called Quest"
"Kool Keith","A Tribe Called Quest"
"OutKast","A Tribe Called Quest"
"The Black Eyed Peas","A Tribe Called Quest"
"The Pharcyde","A Tribe Called Quest"
"k-os","A Tribe Called Quest"
"Y@K Ballz","A Tribe Called Quest"
"Mos Def","A Tribe Called Quest"
"Slum Village","A Tribe Called Quest"
"Spank Rock","A Tribe Called Quest"
"Atmosphere","A Tribe Called Quest"
"Jneiro Jarel","A Tribe Called Quest"
"Pete Philly & Perquisite","A Tribe Called Quest"
"J-Live","A Tribe Called Quest"
"Metermaids","A Tribe Called Quest"
"Kidz in the Hall","A Tribe Called Quest"
"J Dilla","A Tribe Called Quest"
"Impromp2","A Tribe Called Quest"
"Maspyke","A Tribe Called Quest"
"Arrested Development","A Tribe Called Quest"
"Jurassic 5","A Tribe Called Quest"
"Raydar Ellis","A Tribe Called Quest"
"Just Jack","A Tribe Called Quest"
"Tha Alkaholiks","A Tribe Called Quest"
"Moka Only","A Tribe Called Quest"
"Oddisee","A Tribe Called Quest"
"Platinum Pied Pipers","A Tribe Called Quest"
"Stereo MC's","A Tribe Called Quest"
"Goodie Mob","A Tribe Called Quest"
"Blue Scholars","A Tribe Called Quest"
"Iller Than Theirs","A Tribe Called Quest"
"Away Team","A Tribe Called Quest"
"Fugees","A Tribe Called Quest"
"Delinquent Habits","A Tribe Called Quest"
"Antipop Consortium","A Tribe Called Quest"
"Freestyle Fellowship","A Tribe Called Quest"
"Saukrates","A Tribe Called Quest"
"Quelle Chris","A Tribe Called Quest"
"Dirty Heads","A Tribe Called Quest"
"Fat Tony","A Tribe Called Quest"
"Skizzy Mars","A Tribe Called Quest"
"Logic","A Tribe Called Quest"
"Leaders of the New School","A Tribe Called Quest"
"Hi-C","A Tribe Called Quest"
"Digable Planets","A Tribe Called Quest"
"Knowdaverbs","A Tribe Called Quest"
"Rise & Shine","A Tribe Called Quest"
"Alliance Ethnik","A Tribe Called Quest"
"Company Flow","A Tribe Called Quest"
"Joey Bada$$","A Tribe Called Quest"
"The Neptunes","A Tribe Called Quest"
"Speech Debelle","A Tribe Called Quest"
"Kid Sister","A Tribe Called Quest"
"Groove B Chill","A Tribe Called Quest"
"Mangu","A Tribe Called Quest"
"Arsonists","A Tribe Called Quest"
"CJ Fly","A Tribe Called Quest"
"Coolio","A Tribe Called Quest"
"DJ Shadow","A Tribe Called Quest"
"IshDARR","A Tribe Called Quest"
"KDA","A Tribe Called Quest"
"Lil Xan","A Tribe Called Quest"
