"focal","origin"
"Blu","De La Soul"
"Rizzle Kicks","De La Soul"
"Leaders of the New School","De La Soul"
"Hi-C","De La Soul"
"Digable Planets","De La Soul"
"Kwamé","De La Soul"
"Goats","De La Soul"
"Pete Rock & C.L. Smooth","De La Soul"
"Chubb Rock","De La Soul"
"Puff Daddy","De La Soul"
"Rahzel","De La Soul"
"Alliance Ethnik","De La Soul"
"Company Flow","De La Soul"
"DJ Cam","De La Soul"
"Kid Sister","De La Soul"
"Groove B Chill","De La Soul"
"Beck","De La Soul"
"Black Star","De La Soul"
"Dream Warriors","De La Soul"
"IshDARR","De La Soul"
"Lifesavas","De La Soul"
"Lil Xan","De La Soul"
"Mai Lan","De La Soul"
"Main Source","De La Soul"
"Non-Phixion","De La Soul"
"P.M. Dawn","De La Soul"
"Statik Kxng","De La Soul"
"The Disposable Heroes of Hiphoprisy","De La Soul"
"The Roots","De La Soul"
"Us3","De La Soul"
"Warm Brew","De La Soul"
"Will Jay","De La Soul"
"Zimbabwe Legit","De La Soul"
"Curse ov Dialect","Dead Kennedys"
"MC Paul Barman","Dead Kennedys"
"MC Lars","Dead Milkmen"
"Immortal Technique","Dead Prez"
"Saigon","Dead Prez"
"The Impossebulls","Dead Prez"
"DJ /rupture","Dead Prez"
"Skylar Grey","Death Cab for Cutie"
"Tha Dogg Pound","Def Jef"
"Linkin Park","Deftones"
"Aceyalone","Del the Funky Homosapien"
"Busdriver","Del the Funky Homosapien"
"Murs","Del the Funky Homosapien"
"Grand Buffet","Del the Funky Homosapien"
"Omni","Del the Funky Homosapien"
"Kail","Del the Funky Homosapien"
"The Black Eyed Peas","Del the Funky Homosapien"
"The Pharcyde","Del the Funky Homosapien"
"Lyrics Born","Del the Funky Homosapien"
"The Knux","Del the Funky Homosapien"
"K-the-I???","Del the Funky Homosapien"
"Mr. Lif","Del the Funky Homosapien"
"Blackalicious","Del the Funky Homosapien"
"Pharoahe Monch","Del the Funky Homosapien"
"Freestyle Fellowship","Del the Funky Homosapien"
"Danny Brown","Del the Funky Homosapien"
"Hi-C","Del the Funky Homosapien"
"Fu-Schnickens","Del the Funky Homosapien"
"The Grouch & Eligh","Del the Funky Homosapien"
"Aesop Rock","Del the Funky Homosapien"
"El-P","Del the Funky Homosapien"
"Eminem","Del the Funky Homosapien"
"Kanye West","Del the Funky Homosapien"
"Missy Elliott","Del the Funky Homosapien"
"Sage Francis","Del the Funky Homosapien"
"The Coup","Del the Funky Homosapien"
"Akwid","Delinquent Habits"
"Lee Bannon","Deltron 3030"
"DJ Luke Nasty","Dem Franchize Boyz"
"Damian Marley","Dennis Alcapone"
"Capleton","Dennis Brown"
"Travis Barker","Dennis Chambers"
"Matthew Shipp","Dennis Sandole"
"Hot Chip","Dennis Young"
"William Parker","Derek Bailey"
"Arto Lindsay","Derek Bailey"
"Spank Rock","Derrick May"
"Global Communication","Derrick May"
"Skatebård","Derrick May"
"Gilles Peterson","Derrick May"
"Travis Barker","Descendents"
"Cherish","Destiny's Child"
"Azealia Banks","Destiny's Child"
"Royce da 5'9""","Detroit's Most Wanted"
"Timbaland","DeVante Swing"
"Fat Tony","Devin the Dude"
"Danny Brown","Devin the Dude"
"Yelawolf","Devin the Dude"
"CunninLynguists","Devin the Dude"
"Paul Wall","Devin the Dude"
"Rocko","Devin the Dude"
"Slim Thug","Devin the Dude"
"The Saturday Knights","Devin the Dude"
"BS 2000","Devo"
"Hanz","Devo"
"Dynas","Diamond D"
"Ursula Rucker","Dick Gregory"
"Bill Cosby","Dick Gregory"
"Steinski","Dickie Goodman"
"Cam'ron","Diddy"
"Yung Joc","Diddy"
"Fabolous","Diddy"
"Don Omar","Diddy"
"Hector el Father","Diddy"
"Boyz N da Hood","Diddy"
"T-Pain","Diddy"
"Tyga","Diddy"
"Shaquille O'Neal","Diddy"
"Joe Budden","Diddy"
"Murphy Lee","Diddy"
"Chris Brown","Diddy"
"Lance Butters","Die Fantastischen Vier"
"Talib Kweli","Digable Planets"
"Imani Coppola","Digable Planets"
"Wyclef Jean","Digable Planets"
"Spearhead","Digable Planets"
"The Black Eyed Peas","Digable Planets"
"Mos Def","Digable Planets"
"Kidz in the Hall","Digable Planets"
"Galactic","Digable Planets"
"Fugees","Digable Planets"
"Move.meant","Digable Planets"
"Porter Ray","Digable Planets"
"Jill Scott","Digable Planets"
"Kanye West","Digable Planets"
"Northern State","Digable Planets"
"Rhymefest","Digable Planets"
"Statik Kxng","Digable Planets"
"The Coup","Digital Underground"
"Mac Dre","Digital Underground"
"Funkdoobiest","Digital Underground"
"The Black Eyed Peas","Digital Underground"
"The Pharcyde","Digital Underground"
"MC Breed","Digital Underground"
"Foxy Brown","Digital Underground"
"MC Paul Barman","Digital Underground"
"Macklemore & Ryan Lewis","Digital Underground"
"Clee","Digital Underground"
"Company Flow","Digital Underground"
"Violent J","Digital Underground"
"SoulStice","Digital Underground"
"PSY","Digital Underground"
"2Pac","Digital Underground"
"Dr. Dre","Digital Underground"
"Redfoo","Digital Underground"
"Capleton","Dillinger"
"Damian Marley","Dillinger"
"J.J. Fad","Dimples D."
"Buraka Som Sistema","Diplo"
"Rye Rye","Diplo"
"Alex Angelo","Diplo"
"Baauer","Diplo"
"Aceyalone","Divine Styler"
"Dark Lotus","Divine Styler"
"Twenty One Pilots","Dixie Chicks"
"Jamie T.","Dizzee Rascal"
"Cadence Weapon","Dizzee Rascal"
"N-Dubz","Dizzee Rascal"
"Rye Rye","Dizzee Rascal"
"Dot Rotten","Dizzee Rascal"
"Durrty Goodz","Dizzee Rascal"
"Ghetts","Dizzee Rascal"
"Scrufizzer","Dizzee Rascal"
"Quincy Jones","Dizzy Gillespie"
"Maga Bo","DJ /rupture"
"OVe-NaXx","DJ /rupture"
"Girl Talk","DJ Andy Smith"
"YoungBloodZ","DJ Assault"
"Mike Relm","DJ Babu"
"Hector & Tito","DJ Blass"
"Black Moon","DJ Chuck Chillout & Kool Chip"
"DJ Clay","DJ Clue?"
"D/C","DJ Clue?"
"D/C","DJ Envy"
"Unk","DJ Goldfinger"
"Funkmaster Flex","DJ Grand Wizard Theodore"
"DJ Khaled","DJ Green Lantern"
"Pete Philly & Perquisite","DJ Hi-Tek"
"D. Black","DJ Hi-Tek"
"Black Milk","DJ Hi-Tek"
"Black Spade","DJ Hi-Tek"
"J. Wells","DJ Hi-Tek"
"Jake One","DJ Hi-Tek"
"Kanye West","DJ Hi-Tek"
"Drama","DJ Hollywood"
"Terminator X","DJ Hurricane"
"Statik Selektah","DJ Jazzy Jeff"
"A-Trak","DJ Jazzy Jeff"
"Funkmaster Flex","DJ Jazzy Jeff"
"Mr. Thing","DJ Jazzy Jeff"
"Mark Ronson","DJ Jazzy Jeff"
"King Britt","DJ Jazzy Jeff"
"The Pharcyde","DJ Jazzy Jeff & the Fresh Prince"
"Young MC","DJ Jazzy Jeff & the Fresh Prince"
"Kwamé","DJ Jazzy Jeff & the Fresh Prince"
"Puff Daddy","DJ Jazzy Jeff & the Fresh Prince"
"Das EFX","DJ Jazzy Jeff & the Fresh Prince"
"Fugees","DJ Jazzy Jeff & the Fresh Prince"
"Ludacris","DJ Jazzy Jeff & the Fresh Prince"
"MC Lars","DJ Jazzy Jeff & the Fresh Prince"
"Unk","DJ Jelly"
"DJ Diamond Kuts","DJ Khaled"
"The X-ecutioners","DJ Kool"
"Wale","DJ Kool"
"RJD2","DJ Krush"
"Haywyre","DJ Krush"
"Danger Mouse","DJ Krush"
"Diplo","DJ Krush"
"Lil Jon","DJ Magic Mike"
"Master P","DJ Magic Mike"
"DJ Squeeky","DJ Magic Mike"
"DJ Craze","DJ Magic Mike"
"DJ Assault","DJ Magic Mike"
"69 Boyz","DJ Magic Mike"
"Rob Swift","DJ Magic Mike"
"Sir Mix-A-Lot","DJ Magic Mike"
"Soundmaster T","DJ Magic Mike"
"Tag Team","DJ Magic Mike"
"The X-ecutioners","DJ Magic Mike"
"Prince Paul","DJ Mark the 45 King"
"Wale","DJ Mark the 45 King"
"Gang Starr","DJ Mark the 45 King"
"Slim Thug","DJ Michael ""5000"" Watts"
"The Alchemist","DJ Muggs"
"Babasónicos","DJ Muggs"
"Luny Tunes","DJ Negro"
"Noriega","DJ Negro"
"Luny Tunes","DJ Nelson"
"Wisin & Yandel","DJ Playero"
"Daddy Yankee","DJ Playero"
"Kanye West","DJ Premier"
"Black Milk","DJ Premier"
"Ohmega Watts","DJ Premier"
"The Alchemist","DJ Premier"
"Daniel Swain","DJ Premier"
"DJ Hi-Tek","DJ Premier"
"Visioneers","DJ Premier"
"9th Wonder","DJ Premier"
"Copperpot","DJ Premier"
"Marco Polo","DJ Premier"
"Statik Selektah","DJ Premier"
"Rob Swift","DJ Premier"
"A-Trak","DJ Premier"
"Kid Koala","DJ Premier"
"Slakah the Beatchild","DJ Premier"
"J Dilla","DJ Premier"
"Jazzkantine","DJ Premier"
"Da Beatminerz","DJ Premier"
"Mr. Thing","DJ Premier"
"Kev Brown","DJ Premier"
"Lawless Element","DJ Premier"
"Ron Browz","DJ Premier"
"The Beatnuts","DJ Premier"
"Porn Theatre Ushers","DJ Premier"
"Irv Gotti","DJ Premier"
"Classified","DJ Premier"
"Tall Black Guy","DJ Premier"
"L'Orange","DJ Premier"
"Terminator X","DJ Premier"
"DJ Cam","DJ Premier"
"Stro Elliot","DJ Premier"
"Mike Relm","DJ Q-Bert"
"Master P","DJ Quik"
"Gorilla Zoe","DJ Quik"
"Yukmouth","DJ Quik"
"Dubb Union","DJ Quik"
"Akwid","DJ Quik"
"Tha Dogg Pound","DJ Quik"
"Tha Alkaholiks","DJ Quik"
"3rd Degree","DJ Quik"
"Juicy J","DJ Quik"
"14KT","DJ Quik"
"YG","DJ Quik"
"Tha Eastsidaz","DJ Quik"
"AMG","DJ Quik"
"Crime Boss","DJ Quik"
"Cardo","DJ Quik"
"DJ Esco","DJ Quik"
"E-40","DJ Quik"
"Mac Dre","DJ Quik"
"Paperboy","DJ Quik"
"Terrace Martin","DJ Quik"
"KRS-One","DJ Red Alert"
"The X-ecutioners","DJ Red Alert"
"Psycho Les","DJ Red Alert"
"DJ Clue?","DJ Red Alert"
"Funkmaster Flex","DJ Red Alert"
"Ju-Ju","DJ Red Alert"
"The Beatnuts","DJ Red Alert"
"Paul Wall","DJ Screw"
"Screwed Up Click","DJ Screw"
"Chamillionaire","DJ Screw"
"Mike Jones","DJ Screw"
"Lil' Keke","DJ Screw"
"Z-Ro","DJ Screw"
"Mr. Pookie","DJ Screw"
"Juan Gotti","DJ Screw"
"A$AP Rocky","DJ Screw"
"Waka Flocka Flame","DJ Screw"
"Lil Ugly Mane","DJ Screw"
"Young Problemz","DJ Screw"
"DJ Clay","DJ Screw"
"Bone Thugs-N-Harmony","DJ Screw"
"David Banner","DJ Screw"
"Diplo","DJ Screw"
"DJ Michael ""5000"" Watts","DJ Screw"
"OG Ron C","DJ Screw"
"Slim Thug","DJ Screw"
"RJD2","DJ Shadow"
"Nicolay","DJ Shadow"
"Gnarls Barkley","DJ Shadow"
"Girl Talk","DJ Shadow"
"Mr. Scruff","DJ Shadow"
"Diplo","DJ Shadow"
"Romanowski","DJ Shadow"
"Four Tet","DJ Shadow"
"ApSci","DJ Shadow"
"Jib Kidder","DJ Shadow"
"Danger Mouse","DJ Shadow"
"Daedelus","DJ Shadow"
"Diego Bernal","DJ Shadow"
"Gold Panda","DJ Shadow"
"Lilacs & Champagne","DJ Shadow"
"Baths","DJ Shadow"
"Boards of Canada","DJ Shadow"
"Brazilian Girls","DJ Shadow"
"Dro Carey","DJ Shadow"
"Equador","DJ Shadow"
"Fingathing","DJ Shadow"
"Jurassic 5","DJ Shadow"
"Kid Koala","DJ Shadow"
"Kid Loco","DJ Shadow"
"Le Pamplemoüse","DJ Shadow"
"Ruckazoid","DJ Shadow"
"St. Germain","DJ Shadow"
"The Avalanches","DJ Shadow"
"The Gaslamp Killer","DJ Shadow"
"Thievery Corporation","DJ Shadow"
"Tycho","DJ Shadow"
"Washed Out","DJ Shadow"
"The X-ecutioners","DJ Spinbad"
"B. Bravo","DJ Spinna"
"RJD2","DJ Spooky"
"Diplo","DJ Spooky"
"Mark Ronson","DJ Toomp"
"Kenny Burrell","Django Reinhardt"
"Jozeemo","DMX"
"Yung Berg","DMX"
"The Streets","DMX"
"Blac Haze","DMX"
"Plan B","DMX"
"Lil-D","DMX"
"Kendrick Lamar","DMX"
"Bone Crusher","DMX"
"Drama","DMX"
"Jim Jones","DMX"
"Killer Mike","DMX"
"Lex the Hex Master","DMX"
"Lloyd Banks","DMX"
"Papoose","DMX"
"Remy Ma","DMX"
"The Game","DMX"
"Tunji Ige","DMX"
"Webbie","DMX"
"The Nomads","DMZ"
"GLC","Do or Die"
"Crime Mob","Do or Die"
"Kanye West","Do or Die"
"Ludacris","Do or Die"
"Trick Daddy","Do or Die"
"Trillville","Do or Die"
"Do or Die","Doctor Dré"
"Buraka Som Sistema","Dog Murras"
"Atello","Dokken"
"Blowfly","Dolemite"
"Verbal Kent","Domingo"
"50 Cent","Domino"
"Chamillionaire","Domino"
"Eminem","Domino"
"Nas","Domino"
"The Game","Domino"
"Pharrell Williams","Don Blackman"
"Neneh Cherry","Don Cherry"
"Yaga & Mackie","Don Chezina"
"RKM & Ken-Y","Don Omar"
"Aventura","Don Omar"
"Fabolous","Don Omar"
"Kat DeLuna","Don Omar"
"Zion & Lennox","Don Omar"
"A Tribe Called Quest","Donald Byrd"
"Gang Starr","Donald Byrd"
"Carl Thomas","Donny Hathaway"
"Cut Chemist","Double Dee & Steinski"
"Audio Two","Double Trouble"
"Jay-Z","Doug E. Fresh"
"Twista","Doug E. Fresh"
"Digital Underground","Doug E. Fresh"
"The Black Eyed Peas","Doug E. Fresh"
"Blueprint","Doug E. Fresh"
"Shwayze","Doug E. Fresh"
"C.L. Smooth","Doug E. Fresh"
"Boom Bip","Doug E. Fresh"
"Scratch","Doug E. Fresh"
"Biz Markie","Doug E. Fresh"
"Rob Base & DJ E-Z Rock","Doug E. Fresh"
"Rahzel","Doug E. Fresh"
"MC Hammer","Doug E. Fresh"
"Shaggy","Doug E. Fresh"
"Snoop Dogg","Doug E. Fresh"
"Will Smith","Doug E. Fresh"
"Wyclef Jean","Doug E. Fresh"
"GZA","Doug E. Fresh & the Get Fresh Crew"
"MC Hammer","Doug E. Fresh & the Get Fresh Crew"
"Lloyd Banks","Dr. Dre"
"Potluck","Dr. Dre"
"Xzibit","Dr. Dre"
"Do or Die","Dr. Dre"
"Eminem","Dr. Dre"
"Traxamillion","Dr. Dre"
"Outlawz","Dr. Dre"
"Bizzy Bone","Dr. Dre"
"Lil Jon","Dr. Dre"
"Juvenile","Dr. Dre"
"2Pac","Dr. Dre"
"Snoop Dogg","Dr. Dre"
"Master P","Dr. Dre"
"Beyond","Dr. Dre"
"Pitbull","Dr. Dre"
"Young Buck","Dr. Dre"
"Ludacris","Dr. Dre"
"Obie Trice","Dr. Dre"
"DJ Screw","Dr. Dre"
"C-BO","Dr. Dre"
"5th Ward Boyz","Dr. Dre"
"Joeystarr","Dr. Dre"
"The Game","Dr. Dre"
"Daz Dillinger","Dr. Dre"
"Jim Jones","Dr. Dre"
"Termanology","Dr. Dre"
"Brown Boy","Dr. Dre"
"DJ Khaled","Dr. Dre"
"Three 6 Mafia","Dr. Dre"
"Caz","Dr. Dre"
"Celly Cel","Dr. Dre"
"Mac Dre","Dr. Dre"
"Kanye West","Dr. Dre"
"Bone Thugs-N-Harmony","Dr. Dre"
"RZA","Dr. Dre"
"Birdman","Dr. Dre"
"Kurupt","Dr. Dre"
"50 Cent","Dr. Dre"
"DJ Hi-Tek","Dr. Dre"
"Mims","Dr. Dre"
"Coolio","Dr. Dre"
"Bishop Lamont","Dr. Dre"
"Warren G","Dr. Dre"
"DJ Squeeky","Dr. Dre"
"D12","Dr. Dre"
"Ja Rule","Dr. Dre"
"Mystikal","Dr. Dre"
"Partners-N-Crime","Dr. Dre"
"The Luniz","Dr. Dre"
"Soopafly","Dr. Dre"
"P.O.S","Dr. Dre"
"Freekbass","Dr. Dre"
"Nelly","Dr. Dre"
"Acafool","Dr. Dre"
"Big Boi","Dr. Dre"
"Richie Rich","Dr. Dre"
"Tha Dogg Pound","Dr. Dre"
"Pharrell Williams","Dr. Dre"
"Bow Wow","Dr. Dre"
"Tha Alkaholiks","Dr. Dre"
"Lawless Element","Dr. Dre"
"Omar Cruz","Dr. Dre"
"Timbaland","Dr. Dre"
"Ron Browz","Dr. Dre"
"Mack 10","Dr. Dre"
"Bubba Sparxxx","Dr. Dre"
"KLC","Dr. Dre"
"Domino","Dr. Dre"
"Detroit's Most Wanted","Dr. Dre"
"Smoothe Da Hustler","Dr. Dre"
"Black Dynasty","Dr. Dre"
"Pazdat","Dr. Dre"
"Classified","Dr. Dre"
"Fatal","Dr. Dre"
"Pusha T","Dr. Dre"
"YG","Dr. Dre"
"Flatbush Zombies","Dr. Dre"
"Ant Banks","Dr. Dre"
"Top Authority","Dr. Dre"
"Pimpadelic","Dr. Dre"
"Doggy's Angels","Dr. Dre"
"T.W.D.Y.","Dr. Dre"
"Jovishes","Dr. Dre"
"J. Dubb","Dr. Dre"
"2nd II None","Dr. Dre"
"Sicx","Dr. Dre"
"Glasses Malone","Dr. Dre"
"Freddie Gibbs","Dr. Dre"
"L-Burna","Dr. Dre"
"Luniz","Dr. Dre"
"Tracey Lee","Dr. Dre"
"Kottonmouth Kings","Dr. Dre"
"Cashis","Dr. Dre"
"2Wice","Dr. Dre"
"Twinz","Dr. Dre"
"Sons of Funk","Dr. Dre"
"DJ Clay","Dr. Dre"
"AraabMuzik","Dr. Dre"
"Cypress Hill","Dr. Dre"
"E-40","Dr. Dre"
"Fabolous","Dr. Dre"
"James Supercave","Dr. Dre"
"Jay Park","Dr. Dre"
"Kalidonia","Dr. Dre"
"Lukas Graham","Dr. Dre"
"Nate Dogg","Dr. Dre"
"Statik Kxng","Dr. Dre"
"Stresmatic","Dr. Dre"
"T.I.","Dr. Dre"
"The Notorious B.I.G.","Dr. Dre"
"The Pharcyde","Dr. Dre"
"Travis Mills","Dr. Dre"
"Webbie","Dr. Dre"
"G. Love & Special Sauce","Dr. John"
"Galactic","Dr. John"
"Beastie Boys","Dr. Lonnie Smith"
"Gnarls Barkley","Dr. Octagon"
"3OH!3","Dr. Octagon"
"Fat Jon","Dr. Octagon"
"Jaden Smith","Drake"
"BlocBoy JB","Drake"
"Bryson Tiller","Drake"
"Elhae","Drake"
"Elohim","Drake"
"gnash","Drake"
"Jake Paul","Drake"
"JOY.","Drake"
"Just Chase","Drake"
"Kirko Bangz","Drake"
"Lorde","Drake"
"Moosh & Twist","Drake"
"PLAZA","Drake"
"Quentin Miller","Drake"
"Roy Woods","Drake"
"Spenzo","Drake"
"Stray Kids","Drake"
"Trill Sammy","Drake"
"Trinidad Cardona","Drake"
"Tyke T","Drake"
"Vice Menta","Drake"
"Kardinal Offishall","Dream Warriors"
"Rizzle Kicks","Dream Warriors"
"Pretty Ricky","Dru Hill"
"T-Pain","Dru Hill"
"Dorrough","DSR"
"Jay-Z","Dua Lipa"
"Positively Testcard","Duke Ellington"
"Matthew Shipp","Duke Ellington"
"Russell Gunn","Duke Ellington & His Orchestra"
"Da BackWudz","Dungeon Family"
"Future","Dungeon Family"
"Smino","Dungeon Family"
"Smoothe Da Hustler","DV Alias Khrist"
"Potluck","E-40"
"Juvenile","E-40"
"Tech N9ne","E-40"
"Murs","E-40"
"Dirty","E-40"
"50 Cent","E-40"
"Baby Bash","E-40"
"Yukmouth","E-40"
"Federation","E-40"
"Coolio","E-40"
"Lil Rob","E-40"
"Beeda Weeda","E-40"
"Ya Boy","E-40"
"Bun B","E-40"
"David Banner","E-40"
"Young Jeezy","E-40"
"Famouz","E-40"
"The Pack","E-40"
"Fat Tony","E-40"
"Danny Brown","E-40"
"Meek Mill","E-40"
"New Boyz","E-40"
"Lil B","E-40"
"Jay Rock","E-40"
"Nef the Pharaoh","E-40"
"Celly Cel","E-40"
"Dubble-OO","E-40"
"Keak da Sneak","E-40"
"Sky Balla","E-40"
"The Game","E-40"
"Chamillionaire","E.S.G."
"Spank Rock","E.S.G."
"Rich Boy","E.S.G."
"Yo Majesty","E.S.G."
"A$AP Rocky","E.S.G."
"DJ Kool","E.U."
"Alta","Earl Sweatshirt"
"Billie Eilish","Earl Sweatshirt"
"Warren G","Earth, Wind & Fire"
"The Wylde Bunch","Earth, Wind & Fire"
"Jungle Brothers","Earth, Wind & Fire"
"Trillville","Earth, Wind & Fire"
"A Tribe Called Quest","Earth, Wind & Fire"
"MC Hammer","Earth, Wind & Fire"
"Redhead Kingpin and the F.B.I.","Earth, Wind & Fire"
"Trillville","East Side Boys"
"Chingy","Easy E"
"DJ Hi-Tek","Easy Mo Bee"
"Ron Browz","Easy Mo Bee"
"Eminem","Eazy-E"
"Bizzy Bone","Eazy-E"
"Juvenile","Eazy-E"
"Sleepy Malo","Eazy-E"
"Project Pat","Eazy-E"
"Snoop Dogg","Eazy-E"
"Master P","Eazy-E"
"Pimp C","Eazy-E"
"Obie Trice","Eazy-E"
"5th Ward Boyz","Eazy-E"
"The Game","Eazy-E"
"Caz","Eazy-E"
"Celly Cel","Eazy-E"
"Bone Thugs-N-Harmony","Eazy-E"
"Funkdoobiest","Eazy-E"
"Warren G","Eazy-E"
"Tru","Eazy-E"
"Akinyele","Eazy-E"
"Mystikal","Eazy-E"
"Rick Ross","Eazy-E"
"A.W.O.L.","Eazy-E"
"Bun B","Eazy-E"
"Maceo","Eazy-E"
"Richie Rich","Eazy-E"
"Tha Dogg Pound","Eazy-E"
"Boyz N da Hood","Eazy-E"
"Mack 10","Eazy-E"
"Detroit's Most Wanted","Eazy-E"
"Black Dynasty","Eazy-E"
"Black Nasty","Eazy-E"
"Flatbush Zombies","Eazy-E"
"Havoc & Prodeje","Eazy-E"
"Big Baller Click","Eazy-E"
"The Hot Boys","Eazy-E"
"L-Burna","Eazy-E"
"Self","Eazy-E"
"2Pac","Eazy-E"
"Lil Wayne","Eazy-E"
"Lupe Fiasco","Ed O.G & da Bulldogs"
"Raydar Ellis","Ed O.G & da Bulldogs"
"Hoodie Allen","Ed Sheeran"
"Trouble Funk","Eddie Hazel"
"The Last Poets","Eddie Jefferson"
"Kenny Burrell","Eddie Lang"
"Kevin Hart","Eddie Murphy"
"Ozomatli","Eddie Palmieri"
"Shaggy","Eddy Grant"
"DJ /rupture","Edgard Varèse"
"Sergio Mendes","Edú Lobo"
"Shinehead","Eek-A-Mouse"
"Shaggy","Eek-A-Mouse"
"Damian Marley","Eek-A-Mouse"
"Food for Animals","Einstürzende Neubauten"
"Hanz","Einstürzende Neubauten"
"Sultana","El Cartel"
"Mellow Man Ace","El Chicano"
"Tego Calderón","El General"
"Wisin & Yandel","El General"
"Daddy Yankee","El General"
"Tito ""El Bambino"" El Patrón","El General"
"Hector el Father","El General"
"Calle 13","El General"
"Big Boy","El General"
"Don Omar","El General"
"Luny Tunes","El General"
"Daddy Yankee","El Gran Combo de Puerto Rico"
"Lord Kossity","Elephant Man"
"Kruse","Eligh"
"Songodsuns","Elliott Smith"
"Yesterdays New Quintet","Elvin Jones"
"Danny Brown","eLZhi"
"Clear Soul Forces","eLZhi"
"Lloyd Banks","Eminem"
"Potluck","Eminem"
"Obie Trice","Eminem"
"Grand Buffet","Eminem"
"Chingy","Eminem"
"Dark Lotus","Eminem"
"The Streets","Eminem"
"P.O.S","Eminem"
"Skipp Whitman","Eminem"
"Calle 13","Eminem"
"Lil Wyte","Eminem"
"Sullee","Eminem"
"Asher Roth","Eminem"
"PJo","Eminem"
"Randam Luck","Eminem"
"Porta","Eminem"
"Bubba Sparxxx","Eminem"
"Plan B","Eminem"
"Tyler, The Creator","Eminem"
"Earl Sweatshirt","Eminem"
"Skylar Grey","Eminem"
"Mayday!","Eminem"
"Big Sean","Eminem"
"Jarren Benton","Eminem"
"Kendrick Lamar","Eminem"
"Kerser","Eminem"
"Prose","Eminem"
"Flatbush Zombies","Eminem"
"Sinik","Eminem"
"Yelawolf","Eminem"
"Chris Webby","Eminem"
"Boondox","Eminem"
"K Koke","Eminem"
"Witt Lowry","Eminem"
"MGK","Eminem"
"Odd Future","Eminem"
"Sean Forbes","Eminem"
"Big B","Eminem"
"DJ Clay","Eminem"
"50 Cent","Eminem"
"Aesop Rock","Eminem"
"Audio Bullys","Eminem"
"Axel Leon","Eminem"
"Block B","Eminem"
"Chamillionaire","Eminem"
"Jay Park","Eminem"
"Jez Dior","Eminem"
"Jon Connor","Eminem"
"Kanye West","Eminem"
"Lana Del Rey","Eminem"
"Lily Allen","Eminem"
"Lou the Human","Eminem"
"Luke Kaufman","Eminem"
"Nick Brewer","Eminem"
"Patrick Jørgensen","Eminem"
"Roam","Eminem"
"Sarai","Eminem"
"Sik World","Eminem"
"The Game","Eminem"
"Token","Eminem"
"Young Killer","Eminem"
"Foxy Brown","En Vogue"
"Cherish","En Vogue"
"Total","En Vogue"
"Lil' Mo","En Vogue"
"RZA","Ennio Morricone"
"Connie Price & the Keystones","Ennio Morricone"
"Dan the Automator","Ennio Morricone"
"Danger Mouse","Ennio Morricone"
"Shawn Lee","Ennio Morricone"
"M.O.P.","EPMD"
"The Notorious B.I.G.","EPMD"
"Busta Rhymes","EPMD"
"Aceyalone","EPMD"
"Nas","EPMD"
"Jay-Z","EPMD"
"Wu-Tang Clan","EPMD"
"Mobb Deep","EPMD"
"Beanie Sigel","EPMD"
"Ghostface Killah","EPMD"
"Method Man","EPMD"
"Talib Kweli","EPMD"
"Dilated Peoples","EPMD"
"MC Homeless","EPMD"
"Aesop Rock","EPMD"
"UGK","EPMD"
"Cormega","EPMD"
"Jadakiss","EPMD"
"DJ Hi-Tek","EPMD"
"Redman","EPMD"
"Sean Price","EPMD"
"Del the Funky Homosapien","EPMD"
"Cypress Hill","EPMD"
"MF Doom","EPMD"
"Shyne","EPMD"
"Geto Boys","EPMD"
"Memphis Bleek","EPMD"
"Canibus","EPMD"
"Ruff Ryders","EPMD"
"Mos Def","EPMD"
"Slum Village","EPMD"
"MC Breed","EPMD"
"AZ","EPMD"
"Keith Murray","EPMD"
"Psycho Les","EPMD"
"Atmosphere","EPMD"
"The Perceptionists","EPMD"
"The Cool Kids","EPMD"
"J Dilla","EPMD"
"Capone-N-Noreaga","EPMD"
"Onyx","EPMD"
"Mr. Lif","EPMD"
"Diddy","EPMD"
"Tha Alkaholiks","EPMD"
"El-P","EPMD"
"Breez Evahflowin","EPMD"
"Soul Purpose","EPMD"
"Mighty Joseph","EPMD"
"Ju-Ju","EPMD"
"Evidence","EPMD"
"The Beatnuts","EPMD"
"Ill Biskits","EPMD"
"House of Pain","EPMD"
"Shaquille O'Neal","EPMD"
"Fugees","EPMD"
"Delinquent Habits","EPMD"
"Felt","EPMD"
"Naughty by Nature","EPMD"
"Pop Da Brown Hornet","EPMD"
"Freestyle Fellowship","EPMD"
"Snypaz","EPMD"
"Grand Puba","EPMD"
"Das EFX","EPMD"
"Top Quality","EPMD"
"Queen Latifah","EPMD"
"Craig Mack","EPMD"
"Main Source","EPMD"
"Nice & Smooth","EPMD"
"Marxman","EPMD"
"Dibiase","EPMD"
"Puff Daddy","EPMD"
"Raekwon","EPMD"
"Company Flow","EPMD"
"3rd Bass","EPMD"
"Twin Hype","EPMD"
"Roc Marciano","EPMD"
"The Neptunes","EPMD"
"Cannibal Ox","EPMD"
"Black, Rock & Ron","EPMD"
"Cocoa Brovaz","EPMD"
"Digital Underground","EPMD"
"DMX","EPMD"
"Dr. Dre","EPMD"
"Organized Konfusion","EPMD"
"OutKast","EPMD"
"Stresmatic","EPMD"
"Kid Koala","Eric B."
"Mix Master Mike","Eric B."
"Eric Bobo","Eric B."
